WL	WN	Time	Start	
572.500000	34934.497817	2067799507.000000	0.020838	
572.505000	34934.192714	2067803035.000000	0.019532	
572.510000	34933.887618	2067806928.000000	0.018840	
572.515000	34933.582526	2067810701.000000	0.018171	
572.520000	34933.277440	2067814686.000000	0.019093	
572.525000	34932.972359	2067817880.000000	0.018423	
572.530000	34932.667284	2067821760.000000	0.020133	
572.535000	34932.362214	2067825548.000000	0.019343	
572.540000	34932.057149	2067829515.000000	0.018712	
572.545000	34931.752089	2067833403.000000	0.019699	
572.550000	34931.447035	2067837541.000000	0.019324	
572.555000	34931.141986	2067841495.000000	0.018178	
572.560000	34930.836943	2067845386.000000	0.019829	
572.565000	34930.531905	2067849177.000000	0.020573	
572.570000	34930.226872	2067853171.000000	0.019015	
572.575000	34929.921844	2067856982.000000	0.021695	
572.580000	34929.616822	2067861030.000000	0.020455	
572.585000	34929.311805	2067865132.000000	0.021386	
572.590000	34929.006794	2067868695.000000	0.019167	
572.595000	34928.701787	2067872394.000000	0.019714	
572.600000	34928.396787	2067876183.000000	0.020666	
572.605000	34928.091791	2067879927.000000	0.019424	
572.610000	34927.786801	2067883763.000000	0.019879	
572.615000	34927.481816	2067887871.000000	0.019258	
572.620000	34927.176836	2067891411.000000	0.021341	
572.625000	34926.871862	2067895197.000000	0.019297	
572.630000	34926.566893	2067898889.000000	0.021231	
572.635000	34926.261930	2067902547.000000	0.020243	
572.640000	34925.956971	2067906436.000000	0.019079	
572.645000	34925.652018	2067910139.000000	0.022423	
572.650000	34925.347071	2067914139.000000	0.019852	
572.655000	34925.042128	2067917720.000000	0.019450	
572.660000	34924.737191	2067921502.000000	0.019649	
572.665000	34924.432260	2067925408.000000	0.019204	
572.670000	34924.127333	2067928897.000000	0.018760	
572.675000	34923.822412	2067932698.000000	0.019603	
572.680000	34923.517497	2067936231.000000	0.019603	
572.685000	34923.212586	2067940234.000000	0.021344	
572.690000	34922.907681	2067944036.000000	0.019517	
572.695000	34922.602782	2067947527.000000	0.018908	
572.700000	34922.297887	2067951210.000000	0.017874	
572.705000	34921.992998	2067955222.000000	0.019031	
572.710000	34921.688114	2067959315.000000	0.019776	
572.715000	34921.383236	2067963177.000000	0.019535	
572.720000	34921.078363	2067967027.000000	0.018392	
572.725000	34920.773495	2067970985.000000	0.020053	
572.730000	34920.468633	2067974247.000000	0.019902	
572.735000	34920.163776	2067978242.000000	0.020639	
572.740000	34919.858924	2067981593.000000	0.019572	
572.745000	34919.554077	2067985610.000000	0.021388	
572.750000	34919.249236	2067989316.000000	0.020247	
572.755000	34918.944400	2067992851.000000	0.019372	
572.760000	34918.639570	2067996420.000000	0.020180	
572.765000	34918.334745	2068000054.000000	0.020018	
572.770000	34918.029925	2068003623.000000	0.020205	
572.775000	34917.725110	2068007501.000000	0.020407	
572.780000	34917.420301	2068011032.000000	0.019259	
572.785000	34917.115497	2068014730.000000	0.020404	
572.790000	34916.810699	2068018264.000000	0.020658	
572.795000	34916.505905	2068021839.000000	0.018850	
572.800000	34916.201117	2068025626.000000	0.018925	
572.805000	34915.896335	2068029222.000000	0.020069	
572.810000	34915.591557	2068033031.000000	0.019395	
572.815000	34915.286785	2068036708.000000	0.019371	
572.820000	34914.982019	2068040374.000000	0.020027	
572.825000	34914.677257	2068044536.000000	0.020712	
572.830000	34914.372501	2068048203.000000	0.021368	
572.835000	34914.067751	2068051601.000000	0.019292	
572.840000	34913.763005	2068055328.000000	0.020355	
572.845000	34913.458265	2068059199.000000	0.021946	
572.850000	34913.153531	2068062883.000000	0.022329	
572.855000	34912.848801	2068066746.000000	0.024785	
572.860000	34912.544077	2068070566.000000	0.021889	
572.865000	34912.239358	2068074650.000000	0.028379	
572.870000	34911.934645	2068078817.000000	0.034775	
572.875000	34911.629937	2068082762.000000	0.045077	
572.880000	34911.325234	2068086346.000000	0.066393	
572.885000	34911.020536	2068089950.000000	0.080788	
572.890000	34910.715844	2068094071.000000	0.104178	
572.895000	34910.411157	2068097843.000000	0.111776	
572.900000	34910.106476	2068101854.000000	0.112213	
572.905000	34909.801800	2068105462.000000	0.109884	
572.910000	34909.497129	2068109174.000000	0.106344	
572.915000	34909.192463	2068112790.000000	0.103221	
572.920000	34908.887803	2068116519.000000	0.093281	
572.925000	34908.583148	2068120463.000000	0.081211	
572.930000	34908.278498	2068124282.000000	0.076132	
572.935000	34907.973854	2068128181.000000	0.065393	
572.940000	34907.669215	2068131644.000000	0.061152	
572.945000	34907.364581	2068135799.000000	0.044746	
572.950000	34907.059953	2068139934.000000	0.043094	
572.955000	34906.755330	2068144133.000000	0.037968	
572.960000	34906.450712	2068148014.000000	0.031901	
572.965000	34906.146100	2068151810.000000	0.029044	
572.970000	34905.841493	2068155611.000000	0.031151	
572.975000	34905.536891	2068159672.000000	0.029747	
572.980000	34905.232294	2068163688.000000	0.026786	
572.985000	34904.927703	2068167659.000000	0.030327	
572.990000	34904.623117	2068171284.000000	0.032465	
572.995000	34904.318537	2068175089.000000	0.029475	
573.000000	34904.013962	2068179110.000000	0.027160	
573.005000	34903.709392	2068182733.000000	0.026049	
573.010000	34903.404827	2068186432.000000	0.027390	
573.015000	34903.100268	2068189962.000000	0.024869	
573.020000	34902.795714	2068194124.000000	0.024853	
573.025000	34902.491165	2068197888.000000	0.022528	
573.030000	34902.186622	2068202010.000000	0.025740	
573.035000	34901.882084	2068205505.000000	0.021494	
573.040000	34901.577551	2068209214.000000	0.025093	
573.045000	34901.273024	2068213024.000000	0.025546	
573.050000	34900.968502	2068216255.000000	0.025491	
573.055000	34900.663985	2068220349.000000	0.025784	
573.060000	34900.359474	2068224264.000000	0.024950	
573.065000	34900.054968	2068227838.000000	0.023051	
573.070000	34899.750467	2068231873.000000	0.022951	
573.075000	34899.445971	2068236010.000000	0.026795	
573.080000	34899.141481	2068239698.000000	0.024539	
573.085000	34898.836996	2068243799.000000	0.026335	
573.090000	34898.532517	2068247440.000000	0.022732	
573.095000	34898.228042	2068251221.000000	0.024102	
573.100000	34897.923574	2068254870.000000	0.024709	
573.105000	34897.619110	2068258621.000000	0.026955	
573.110000	34897.314652	2068262554.000000	0.024314	
573.115000	34897.010199	2068266287.000000	0.023210	
573.120000	34896.705751	2068270108.000000	0.026397	
573.125000	34896.401309	2068274025.000000	0.022403	
573.130000	34896.096872	2068277780.000000	0.020445	
573.135000	34895.792440	2068281527.000000	0.020758	
573.140000	34895.488013	2068285074.000000	0.026410	
573.145000	34895.183592	2068288594.000000	0.023629	
573.150000	34894.879176	2068292474.000000	0.022717	
573.155000	34894.574766	2068296688.000000	0.024332	
573.160000	34894.270361	2068300902.000000	0.024903	
573.165000	34893.965961	2068304349.000000	0.023417	
573.170000	34893.661566	2068308309.000000	0.022078	
573.175000	34893.357177	2068312461.000000	0.026233	
573.180000	34893.052793	2068316545.000000	0.023334	
573.185000	34892.748415	2068320077.000000	0.024214	
573.190000	34892.444041	2068323742.000000	0.024426	
573.195000	34892.139673	2068327380.000000	0.031685	
573.200000	34891.835311	2068331540.000000	0.028537	
573.205000	34891.530953	2068335289.000000	0.035569	
573.210000	34891.226601	2068338991.000000	0.048503	
573.215000	34890.922254	2068343144.000000	0.057188	
573.220000	34890.617913	2068346993.000000	0.069867	
573.225000	34890.313577	2068350268.000000	0.069412	
573.230000	34890.009246	2068353987.000000	0.062585	
573.235000	34889.704920	2068358092.000000	0.065612	
573.240000	34889.400600	2068362026.000000	0.065236	
573.245000	34889.096285	2068365276.000000	0.055933	
573.250000	34888.791976	2068368917.000000	0.060649	
573.255000	34888.487671	2068372411.000000	0.052194	
573.260000	34888.183372	2068376607.000000	0.044061	
573.265000	34887.879079	2068380495.000000	0.045117	
573.270000	34887.574790	2068383964.000000	0.038777	
573.275000	34887.270507	2068387488.000000	0.038354	
573.280000	34886.966229	2068391129.000000	0.035114	
573.285000	34886.661957	2068394887.000000	0.030343	
573.290000	34886.357690	2068398480.000000	0.036570	
573.295000	34886.053428	2068402404.000000	0.029842	
573.300000	34885.749171	2068406006.000000	0.029960	
573.305000	34885.444920	2068409822.000000	0.025921	
573.310000	34885.140674	2068413565.000000	0.026061	
573.315000	34884.836434	2068417619.000000	0.028027	
573.320000	34884.532198	2068421348.000000	0.030691	
573.325000	34884.227968	2068424675.000000	0.027007	
573.330000	34883.923744	2068428550.000000	0.024501	
573.335000	34883.619524	2068432069.000000	0.028519	
573.340000	34883.315310	2068435890.000000	0.023108	
573.345000	34883.011102	2068439421.000000	0.029459	
573.350000	34882.706898	2068443661.000000	0.025068	
573.355000	34882.402700	2068447174.000000	0.024188	
573.360000	34882.098507	2068450932.000000	0.022417	
573.365000	34881.794319	2068454634.000000	0.025709	
573.370000	34881.490137	2068458764.000000	0.024034	
573.375000	34881.185960	2068462380.000000	0.024009	
573.380000	34880.881789	2068466219.000000	0.026154	
573.385000	34880.577622	2068469871.000000	0.027136	
573.390000	34880.273461	2068473870.000000	0.026554	
573.395000	34879.969306	2068477898.000000	0.030808	
