WL	WN	Time	Start	
572.810000	34915.591557	2078622808.000000	0.022839	
572.815000	34915.286785	2078626652.000000	0.022536	
572.820000	34914.982019	2078631025.000000	0.023957	
572.825000	34914.677257	2078634970.000000	0.021605	
572.830000	34914.372501	2078639111.000000	0.023772	
572.835000	34914.067751	2078643293.000000	0.025290	
572.840000	34913.763005	2078647263.000000	0.022351	
572.845000	34913.458265	2078651009.000000	0.023126	
572.850000	34913.153531	2078654531.000000	0.025743	
572.855000	34912.848801	2078658578.000000	0.027674	
572.860000	34912.544077	2078662535.000000	0.029962	
572.865000	34912.239358	2078666265.000000	0.033768	
572.870000	34911.934645	2078670115.000000	0.042419	
572.875000	34911.629937	2078674116.000000	0.052885	
572.880000	34911.325234	2078677706.000000	0.072230	
572.885000	34911.020536	2078681330.000000	0.100676	
572.890000	34910.715844	2078685416.000000	0.107969	
572.895000	34910.411157	2078689110.000000	0.127293	
572.900000	34910.106476	2078693383.000000	0.095800	
572.905000	34909.801800	2078697424.000000	0.100729	
572.910000	34909.497129	2078701409.000000	0.081787	
572.915000	34909.192463	2078705022.000000	0.088701	
572.920000	34908.887803	2078708781.000000	0.082942	
572.925000	34908.583148	2078712874.000000	0.094107	
572.930000	34908.278498	2078716633.000000	0.063022	
572.935000	34907.973854	2078720762.000000	0.052919	
572.940000	34907.669215	2078724854.000000	0.060930	
572.945000	34907.364581	2078728814.000000	0.046067	
572.950000	34907.059953	2078732767.000000	0.040190	
572.955000	34906.755330	2078736164.000000	0.042728	
572.960000	34906.450712	2078740089.000000	0.029689	
572.965000	34906.146100	2078744253.000000	0.028787	
572.970000	34905.841493	2078748285.000000	0.027801	
572.975000	34905.536891	2078752046.000000	0.029975	
572.980000	34905.232294	2078756131.000000	0.027086	
572.985000	34904.927703	2078760375.000000	0.029258	
572.990000	34904.623117	2078764295.000000	0.024475	
572.995000	34904.318537	2078768591.000000	0.025541	
573.000000	34904.013962	2078772313.000000	0.024828	
573.005000	34903.709392	2078776305.000000	0.026071	
573.010000	34903.404827	2078780380.000000	0.022883	
573.015000	34903.100268	2078784197.000000	0.024287	
573.020000	34902.795714	2078788189.000000	0.022447	
573.025000	34902.491165	2078792078.000000	0.022657	
573.030000	34902.186622	2078795984.000000	0.025882	
573.035000	34901.882084	2078800187.000000	0.024804	
573.040000	34901.577551	2078804133.000000	0.026512	
573.045000	34901.273024	2078807746.000000	0.028614	
573.050000	34900.968502	2078811325.000000	0.023669	
573.055000	34900.663985	2078815443.000000	0.023228	
573.060000	34900.359474	2078819254.000000	0.023730	
573.065000	34900.054968	2078823501.000000	0.025129	
573.070000	34899.750467	2078827255.000000	0.024994	
573.075000	34899.445971	2078830986.000000	0.025993	
573.080000	34899.141481	2078834280.000000	0.022877	
573.085000	34898.836996	2078838457.000000	0.027027	
573.090000	34898.532517	2078842564.000000	0.023745	
573.095000	34898.228042	2078846851.000000	0.024785	
573.100000	34897.923574	2078850383.000000	0.024247	
573.105000	34897.619110	2078854687.000000	0.025659	
573.110000	34897.314652	2078858844.000000	0.024841	
573.115000	34897.010199	2078863055.000000	0.024711	
573.120000	34896.705751	2078866999.000000	0.024827	
573.125000	34896.401309	2078870921.000000	0.023925	
573.130000	34896.096872	2078874759.000000	0.023963	
573.135000	34895.792440	2078878865.000000	0.027380	
573.140000	34895.488013	2078882746.000000	0.027608	
573.145000	34895.183592	2078886371.000000	0.027353	
573.150000	34894.879176	2078890252.000000	0.024103	
573.155000	34894.574766	2078894004.000000	0.022869	
573.160000	34894.270361	2078898004.000000	0.025336	
573.165000	34893.965961	2078901841.000000	0.025527	
573.170000	34893.661566	2078905693.000000	0.027242	
573.175000	34893.357177	2078909707.000000	0.023649	
573.180000	34893.052793	2078913246.000000	0.026269	
573.185000	34892.748415	2078916829.000000	0.028213	
573.190000	34892.444041	2078921001.000000	0.027247	
573.195000	34892.139673	2078925321.000000	0.033103	
573.200000	34891.835311	2078929099.000000	0.033308	
573.205000	34891.530953	2078933139.000000	0.041909	
573.210000	34891.226601	2078937046.000000	0.053428	
573.215000	34890.922254	2078940977.000000	0.068949	
573.220000	34890.617913	2078945129.000000	0.065665	
573.225000	34890.313577	2078949194.000000	0.063502	
573.230000	34890.009246	2078953284.000000	0.065792	
573.235000	34889.704920	2078957048.000000	0.052429	
573.240000	34889.400600	2078961086.000000	0.065919	
573.245000	34889.096285	2078965011.000000	0.076404	
573.250000	34888.791976	2078969088.000000	0.062128	
573.255000	34888.487671	2078973381.000000	0.050042	
573.260000	34888.183372	2078977236.000000	0.046407	
573.265000	34887.879079	2078981185.000000	0.044903	
573.270000	34887.574790	2078985053.000000	0.037609	
573.275000	34887.270507	2078988638.000000	0.042697	
573.280000	34886.966229	2078992633.000000	0.037744	
573.285000	34886.661957	2078996917.000000	0.039045	
573.290000	34886.357690	2079001171.000000	0.034103	
573.295000	34886.053428	2079005110.000000	0.031659	
573.300000	34885.749171	2079009008.000000	0.030874	
573.305000	34885.444920	2079012990.000000	0.030514	
573.310000	34885.140674	2079017218.000000	0.026964	
573.315000	34884.836434	2079020966.000000	0.026199	
573.320000	34884.532198	2079025031.000000	0.028304	
573.325000	34884.227968	2079029225.000000	0.026838	
573.330000	34883.923744	2079033308.000000	0.029229	
573.335000	34883.619524	2079037006.000000	0.024684	
573.340000	34883.315310	2079040728.000000	0.027924	
573.345000	34883.011102	2079044885.000000	0.028864	
573.350000	34882.706898	2079048314.000000	0.035890	
